symbol,close,open,high,low,volume,changePercent,date,companyName,sector,MMM,AXP,AIG,ACN,CHRW,CSCO,DVN,XOM,week_ranges,week_num,MEDV_volume,z_volume
DVN,8.09,8.6,8.63,8.08,6949219,-6.69,2020-04-16,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-15 - 2020-04-21,3,-0.4217717713747349,-0.4217717713747349
DVN,9.22,8.18,9.25,8.13,12742929,13.97,2020-04-17,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-15 - 2020-04-21,3,0.09791817509327555,0.09791817509327555
DVN,9.16,8.39,9.58,8.3,12798875,-0.65,2020-04-20,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-15 - 2020-04-21,3,0.10293647489514676,0.10293647489514676
DVN,9.05,8.69,9.26,8.58,14497626,-1.2,2020-04-21,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-15 - 2020-04-21,3,0.2553127271156547,0.2553127271156547
DVN,9.74,9.58,9.82,9.33,7396721,7.62,2020-04-22,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-22 - 2020-04-28,4,-0.3816312930932318,-0.3816312930932318
DVN,10.57,10.13,11.0,10.05,12396426,8.52,2020-04-23,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-22 - 2020-04-28,4,0.06683720529654684,0.06683720529654684
DVN,10.52,10.9,11.22,10.19,16018609,-0.47,2020-04-24,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-22 - 2020-04-28,4,0.39174336894079853,0.39174336894079853
DVN,10.76,10.3,10.89,9.88,7466844,2.28,2020-04-27,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-22 - 2020-04-28,4,-0.3753413306829323,-0.3753413306829323
DVN,10.97,11.03,11.25,10.66,8856029,1.95,2020-04-28,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-22 - 2020-04-28,4,-0.25073283659466017,-0.25073283659466017
DVN,12.63,11.51,12.9,11.34,11865381,15.13,2020-04-29,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-29 - 2020-05-05,5,0.01920300413319821,0.01920300413319821
DVN,12.47,12.81,12.85,11.9,10380981,-1.27,2020-04-30,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-29 - 2020-05-05,5,-0.1139461794705919,-0.1139461794705919
DVN,11.15,11.92,12.2,11.04,7152088,-10.59,2020-05-01,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-29 - 2020-05-05,5,-0.403574626583225,-0.403574626583225
DVN,11.42,10.86,11.43,10.64,6554265,2.42,2020-05-04,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-29 - 2020-05-05,5,-0.45719874702890584,-0.45719874702890584
DVN,11.18,12.16,12.25,11.11,8942299,-2.1,2020-05-05,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-29 - 2020-05-05,5,-0.24299450456185298,-0.24299450456185298
DVN,11.49,11.9,12.05,11.25,10874267,2.77,2020-05-06,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-06 - 2020-05-12,6,-0.06969892254309311,-0.06969892254309311
DVN,12.01,11.95,12.43,11.91,8928829,4.53,2020-05-07,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-06 - 2020-05-12,6,-0.24420274998299488,-0.24420274998299488
DVN,12.7,12.32,12.72,12.25,7419138,5.75,2020-05-08,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-06 - 2020-05-12,6,-0.37962051079139525,-0.37962051079139525
DVN,12.46,12.5,12.78,12.24,8113498,-1.89,2020-05-11,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-06 - 2020-05-12,6,-0.31733711876288023,-0.31733711876288023
DVN,12.4,12.64,13.08,12.4,8833999,-0.48,2020-05-12,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-06 - 2020-05-12,6,-0.2527089053866242,-0.2527089053866242
DVN,11.53,12.25,12.27,11.29,9738795,-7.02,2020-05-13,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-13 - 2020-05-19,7,-0.17154961629475218,-0.17154961629475218
DVN,11.66,11.21,12.06,10.79,7713914,1.13,2020-05-14,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-13 - 2020-05-19,7,-0.3531794007496337,-0.3531794007496337
DVN,11.95,11.61,12.34,11.51,8335831,2.49,2020-05-15,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-13 - 2020-05-19,7,-0.29739407279266905,-0.29739407279266905
DVN,13.12,12.86,13.36,12.63,10694598,9.79,2020-05-18,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-13 - 2020-05-19,7,-0.08581505072209429,-0.08581505072209429
